 S11, S22, S33, S12, S23, S31, wp
 -1.159394E+002, -2.407807E+002,  0.000000E+000, -1.096493E+002,  5.548261E-001, -8.420865E-001,  5.001466E-001
 -1.197533E+002, -2.526979E+002,  0.000000E+000, -1.028337E+002,  3.546860E-001, -7.379116E-001,  5.006008E-001
 -1.230698E+002, -2.641448E+002,  0.000000E+000, -9.479552E+001,  1.407609E-001, -5.955080E-001,  5.001195E-001
 -1.259464E+002, -2.753496E+002,  0.000000E+000, -8.549690E+001,  1.767428E-002, -4.566307E-001,  5.006525E-001
 -1.283607E+002, -2.864219E+002,  0.000000E+000, -7.500903E+001,  1.830142E-002, -3.144571E-001,  5.003839E-001
 -1.303216E+002, -2.975916E+002,  0.000000E+000, -6.346836E+001,  2.873449E-002, -1.306201E-001,  5.007440E-001
 -1.321234E+002, -3.090496E+002,  0.000000E+000, -5.066481E+001,  9.633332E-002,  8.625529E-002,  5.003776E-001
 -1.339030E+002, -3.205967E+002,  0.000000E+000, -3.656030E+001,  1.893680E-001,  3.786643E-001,  5.008662E-001
 -1.348667E+002, -3.303454E+002,  0.000000E+000, -2.240170E+001,  2.962514E-001,  7.059288E-001,  5.002085E-001
 -1.349520E+002, -3.370413E+002,  0.000000E+000, -7.492650E+000,  5.250349E-001,  1.247140E+000,  5.000822E-001
 -1.349887E+002, -3.377645E+002,  0.000000E+000,  8.951729E+000,  8.446823E-001,  1.220897E+000,  5.006984E-001
 -1.352530E+002, -3.311795E+002,  0.000000E+000,  2.345555E+001,  1.087417E+000,  8.640588E-001,  5.007044E-001
 -1.343005E+002, -3.209810E+002,  0.000000E+000,  3.789509E+001,  1.242587E+000,  8.643210E-001,  5.007601E-001
 -1.327991E+002, -3.096578E+002,  0.000000E+000,  5.195805E+001,  1.376665E+000,  9.369997E-001,  5.004335E-001
 -1.313486E+002, -2.985135E+002,  0.000000E+000,  6.477173E+001,  1.424766E+000,  1.025016E+000,  5.002586E-001
 -1.298258E+002, -2.877272E+002,  0.000000E+000,  7.631404E+001,  1.343587E+000,  1.125267E+000,  5.000882E-001
 -1.281090E+002, -2.773475E+002,  0.000000E+000,  8.657288E+001,  1.275153E+000,  1.258591E+000,  5.002563E-001
 -1.260271E+002, -2.671699E+002,  0.000000E+000,  9.555242E+001,  1.270518E+000,  1.431380E+000,  5.007751E-001
 -1.233134E+002, -2.563861E+002,  0.000000E+000,  1.032964E+002,  1.188119E+000,  1.543894E+000,  5.002353E-001
 -1.195983E+002, -2.444636E+002,  0.000000E+000,  1.099317E+002,  1.089437E+000,  1.631860E+000,  5.004993E-001
 -9.176731E+001, -2.397380E+002,  0.000000E+000, -1.096935E+002,  5.653196E-001, -9.603712E-001,  5.005472E-001
 -9.423538E+001, -2.524279E+002,  0.000000E+000, -1.030937E+002,  3.912501E-001, -8.684680E-001,  5.005942E-001
 -9.619054E+001, -2.645908E+002,  0.000000E+000, -9.504662E+001,  1.990301E-001, -7.287385E-001,  5.003815E-001
 -9.772700E+001, -2.764537E+002,  0.000000E+000, -8.561083E+001,  1.850935E-002, -5.508450E-001,  5.000049E-001
 -9.873134E+001, -2.880373E+002,  0.000000E+000, -7.483395E+001, -5.809246E-002, -3.679135E-001,  5.001315E-001
 -9.916150E+001, -2.994708E+002,  0.000000E+000, -6.285264E+001, -5.665160E-002, -1.745996E-001,  5.002743E-001
 -9.918256E+001, -3.109867E+002,  0.000000E+000, -4.974001E+001,  1.189848E-002,  5.085194E-002,  5.008057E-001
 -9.901221E+001, -3.224592E+002,  0.000000E+000, -3.535841E+001,  1.252582E-001,  2.626211E-001,  5.001524E-001
 -9.822796E+001, -3.324017E+002,  0.000000E+000, -2.086459E+001,  2.736104E-001,  4.583169E-001,  5.000111E-001
 -9.701489E+001, -3.396861E+002,  0.000000E+000, -6.454070E+000,  5.895885E-001,  5.345312E-001,  5.004363E-001
 -9.721934E+001, -3.394405E+002,  0.000000E+000,  7.850584E+000,  9.566157E-001,  3.355830E-001,  5.004344E-001
 -9.851722E+001, -3.327800E+002,  0.000000E+000,  2.188020E+001,  1.205005E+000,  3.750501E-001,  5.005751E-001
 -9.911373E+001, -3.225874E+002,  0.000000E+000,  3.665287E+001,  1.324135E+000,  4.059402E-001,  5.001702E-001
 -9.946221E+001, -3.113496E+002,  0.000000E+000,  5.089660E+001,  1.392481E+000,  4.809765E-001,  5.001129E-001
 -9.975935E+001, -3.001787E+002,  0.000000E+000,  6.394785E+001,  1.363078E+000,  5.927194E-001,  5.002771E-001
 -9.994211E+001, -2.892557E+002,  0.000000E+000,  7.575123E+001,  1.283653E+000,  7.651441E-001,  5.006333E-001
 -9.986222E+001, -2.785810E+002,  0.000000E+000,  8.628841E+001,  1.254212E+000,  9.507890E-001,  5.006902E-001
 -9.938189E+001, -2.678223E+002,  0.000000E+000,  9.542604E+001,  1.202278E+000,  1.098123E+000,  5.006758E-001
 -9.792844E+001, -2.560321E+002,  0.000000E+000,  1.032849E+002,  1.168346E+000,  1.233919E+000,  5.003298E-001
 -9.559870E+001, -2.430814E+002,  0.000000E+000,  1.096589E+002,  1.144180E+000,  1.349083E+000,  5.001391E-001
 -9.349206E+001, -2.265149E+002,  0.000000E+000, -1.147637E+002,  6.759720E-001, -9.932607E-001,  5.000656E-001
 -9.670286E+001, -2.290137E+002,  0.000000E+000,  1.150911E+002,  1.089334E+000,  1.485185E+000,  5.006176E-001
 -9.505499E+001, -2.116174E+002,  0.000000E+000, -1.195512E+002,  7.566705E-001, -1.005789E+000,  5.005288E-001
 -9.743354E+001, -2.134178E+002,  0.000000E+000,  1.202219E+002,  1.072289E+000,  1.630166E+000,  5.004794E-001
 -9.630748E+001, -1.950733E+002,  0.000000E+000, -1.242269E+002,  8.198912E-001, -1.022236E+000,  5.000106E-001
 -9.783005E+001, -1.966696E+002,  0.000000E+000,  1.250281E+002,  1.106859E+000,  1.758847E+000,  5.004122E-001
 -6.682333E+001, -2.382147E+002,  0.000000E+000, -1.085982E+002,  5.940020E-001, -1.007400E+000,  5.005870E-001
 -6.732757E+001, -2.512976E+002,  0.000000E+000, -1.026911E+002,  4.754034E-001, -9.327893E-001,  5.002064E-001
 -6.784390E+001, -2.642637E+002,  0.000000E+000, -9.468653E+001,  2.718232E-001, -7.825003E-001,  5.005881E-001
 -6.782529E+001, -2.766483E+002,  0.000000E+000, -8.519484E+001,  3.577583E-002, -5.876199E-001,  5.003081E-001
 -6.745421E+001, -2.887650E+002,  0.000000E+000, -7.419681E+001, -1.371624E-001, -3.786716E-001,  5.003591E-001
 -6.672544E+001, -3.005377E+002,  0.000000E+000, -6.192516E+001, -1.226147E-001, -1.821829E-001,  5.005783E-001
 -6.565115E+001, -3.120485E+002,  0.000000E+000, -4.851391E+001, -5.281779E-002,  1.707022E-002,  5.004920E-001
 -6.467114E+001, -3.232283E+002,  0.000000E+000, -3.401018E+001,  8.343172E-002,  9.102772E-002,  5.000921E-001
 -6.367076E+001, -3.328889E+002,  0.000000E+000, -1.936906E+001,  3.143518E-001,  3.110951E-002,  5.004108E-001
 -6.257605E+001, -3.388604E+002,  0.000000E+000, -5.510382E+000,  6.646831E-001, -3.500662E-001,  5.003508E-001
 -6.255234E+001, -3.384443E+002,  0.000000E+000,  6.956682E+000,  9.912113E-001, -3.185168E-001,  5.009411E-001
 -6.321337E+001, -3.327619E+002,  0.000000E+000,  2.052998E+001,  1.263408E+000, -9.729856E-002,  5.007217E-001
 -6.404738E+001, -3.232346E+002,  0.000000E+000,  3.522595E+001,  1.400863E+000,  2.317149E-002,  5.005271E-001
 -6.545893E+001, -3.122539E+002,  0.000000E+000,  4.952687E+001,  1.396118E+000,  1.043055E-001,  5.008058E-001
 -6.708865E+001, -3.011043E+002,  0.000000E+000,  6.269749E+001,  1.254048E+000,  2.376379E-001,  5.001725E-001
 -6.861265E+001, -2.900650E+002,  0.000000E+000,  7.468293E+001,  1.141513E+000,  4.105761E-001,  5.000745E-001
 -7.010503E+001, -2.791751E+002,  0.000000E+000,  8.532762E+001,  1.100101E+000,  5.852288E-001,  5.006532E-001
 -7.114458E+001, -2.677448E+002,  0.000000E+000,  9.459988E+001,  1.058481E+000,  7.593871E-001,  5.007265E-001
 -7.121259E+001, -2.547963E+002,  0.000000E+000,  1.024316E+002,  1.028679E+000,  9.355237E-001,  5.001506E-001
 -7.058408E+001, -2.409681E+002,  0.000000E+000,  1.084873E+002,  1.033987E+000,  1.071408E+000,  5.006717E-001
 -6.773948E+001, -2.246548E+002,  0.000000E+000, -1.134871E+002,  7.003972E-001, -1.072636E+000,  5.006461E-001
 -7.085898E+001, -2.264856E+002,  0.000000E+000,  1.139464E+002,  1.065502E+000,  1.204689E+000,  5.004100E-001
 -6.848195E+001, -2.095307E+002,  0.000000E+000, -1.183709E+002,  7.500068E-001, -1.109013E+000,  5.002561E-001
 -7.105755E+001, -2.107420E+002,  0.000000E+000,  1.192005E+002,  1.112469E+000,  1.317737E+000,  5.001181E-001
 -6.899166E+001, -1.928731E+002,  0.000000E+000, -1.232558E+002,  7.831666E-001, -1.137495E+000,  5.007510E-001
 -7.086705E+001, -1.937184E+002,  0.000000E+000,  1.243446E+002,  1.175756E+000,  1.415836E+000,  5.006083E-001
 -6.906042E+001, -1.744403E+002,  0.000000E+000, -1.280694E+002,  7.931164E-001, -1.184725E+000,  5.004385E-001
 -6.992638E+001, -1.751175E+002,  0.000000E+000,  1.292979E+002,  1.256605E+000,  1.485277E+000,  5.004496E-001
 -6.830915E+001, -1.540906E+002,  0.000000E+000, -1.326822E+002,  7.063051E-001, -1.238535E+000,  5.004624E-001
 -6.773669E+001, -1.547259E+002,  0.000000E+000,  1.338942E+002,  1.408799E+000,  1.558270E+000,  5.003480E-001
 -6.464222E+001, -1.297602E+002,  0.000000E+000, -1.367343E+002,  3.734527E-001, -1.222853E+000,  5.003726E-001
 -6.228134E+001, -1.302820E+002,  0.000000E+000,  1.378049E+002,  1.666970E+000,  1.626884E+000,  5.001671E-001
 -5.447137E+001, -9.637485E+001,  0.000000E+000, -1.399326E+002, -1.280596E-001, -1.095880E+000,  5.003665E-001
 -5.126397E+001, -9.798976E+001,  0.000000E+000,  1.408617E+002,  1.842898E+000,  1.545102E+000,  5.000998E-001
 -4.102620E+001, -2.356712E+002,  0.000000E+000, -1.067683E+002,  6.293977E-001, -1.013165E+000,  5.001165E-001
 -3.963309E+001, -2.490242E+002,  0.000000E+000, -1.012558E+002,  5.215412E-001, -9.289054E-001,  5.006566E-001
 -3.846325E+001, -2.625881E+002,  0.000000E+000, -9.360364E+001,  3.648095E-001, -8.147334E-001,  5.001375E-001
 -3.707152E+001, -2.755384E+002,  0.000000E+000, -8.410875E+001,  1.470256E-001, -6.449171E-001,  5.006232E-001
 -3.559810E+001, -2.880591E+002,  0.000000E+000, -7.315980E+001, -7.740666E-002, -4.770726E-001,  5.000026E-001
 -3.428124E+001, -3.000949E+002,  0.000000E+000, -6.085465E+001, -1.215497E-001, -3.486506E-001,  5.002261E-001
 -3.332636E+001, -3.114209E+002,  0.000000E+000, -4.745276E+001,  5.309374E-002, -3.462312E-001,  5.009267E-001
 -3.292357E+001, -3.221238E+002,  0.000000E+000, -3.307099E+001,  2.109949E-001, -3.632591E-001,  5.008672E-001
 -3.281325E+001, -3.313946E+002,  0.000000E+000, -1.839666E+001,  4.143437E-001, -4.675471E-001,  5.006279E-001
 -3.267396E+001, -3.359162E+002,  0.000000E+000, -5.253871E+000,  7.395746E-001, -8.532455E-001,  5.002140E-001
 -3.230038E+001, -3.355401E+002,  0.000000E+000,  6.771489E+000,  1.078557E+000, -7.237514E-001,  5.000532E-001
 -3.212496E+001, -3.306302E+002,  0.000000E+000,  2.001122E+001,  1.354541E+000, -5.156893E-001,  5.001647E-001
 -3.192004E+001, -3.220573E+002,  0.000000E+000,  3.428451E+001,  1.545584E+000, -3.315435E-001,  5.005836E-001
