 S11, S22, S33, S12, S23, S31, wp
 -2.504620E+001, -9.876559E+001,  0.000000E+000, -4.895672E+001, -4.140162E-001,  1.011864E+000,  2.001830E-001
 -2.414844E+001, -1.050225E+002,  0.000000E+000, -4.560227E+001, -5.626539E-001,  3.373442E-001,  2.000117E-001
 -2.240377E+001, -1.114207E+002,  0.000000E+000, -4.096102E+001, -6.333139E-001, -4.840806E-001,  2.003858E-001
 -2.104009E+001, -1.183867E+002,  0.000000E+000, -3.289777E+001, -7.635881E-001, -1.489777E+000,  2.001828E-001
 -2.139857E+001, -1.245439E+002,  0.000000E+000, -2.007855E+001, -3.147458E-001, -1.339356E+000,  2.001602E-001
 -2.079001E+001, -1.274906E+002,  0.000000E+000, -6.416354E+000, -4.306976E-001, -1.171820E+000,  2.001876E-001
 -1.906804E+001, -1.276755E+002,  0.000000E+000,  7.845984E+000, -5.509371E-001, -8.608622E-001,  2.002167E-001
 -1.658505E+001, -1.246122E+002,  0.000000E+000,  2.139114E+001, -5.193212E-001,  8.775885E-001,  2.003361E-001
 -1.419807E+001, -1.188101E+002,  0.000000E+000,  3.258079E+001, -1.031035E+000,  1.724434E+000,  2.000694E-001
 -1.345583E+001, -1.115574E+002,  0.000000E+000,  4.077080E+001, -1.223803E+000,  1.985941E+000,  2.003751E-001
 -1.355387E+001, -1.034589E+002,  0.000000E+000,  4.707127E+001, -1.212503E+000,  2.275608E+000,  2.000500E-001
 -1.351954E+001, -9.580873E+001,  0.000000E+000,  5.147795E+001, -1.167233E+000,  2.497881E+000,  2.003873E-001
 -2.705071E+001, -9.139748E+001,  0.000000E+000, -5.222326E+001, -1.141226E-001,  1.574091E+000,  2.003434E-001
 -1.486187E+001, -8.798811E+001,  0.000000E+000,  5.500830E+001, -7.966204E-001,  2.260204E+000,  2.001809E-001
 -2.840712E+001, -8.111459E+001,  0.000000E+000, -5.584293E+001,  5.999371E-002,  1.814002E+000,  2.001691E-001
 -1.612826E+001, -7.794510E+001,  0.000000E+000,  5.838707E+001, -1.612640E-001,  1.753892E+000,  2.002243E-001
 -2.807055E+001, -6.525048E+001,  0.000000E+000, -5.998603E+001, -1.691421E-001,  1.828816E+000,  2.000830E-001
 -1.665799E+001, -6.365540E+001,  0.000000E+000,  6.189522E+001,  9.990260E-001,  1.269005E+000,  2.003432E-001
 -3.275542E+000, -9.710434E+001,  0.000000E+000, -4.719339E+001, -6.129140E-001,  1.124593E+000,  2.002284E-001
  8.895130E-001, -1.032345E+002,  0.000000E+000, -4.340421E+001, -6.780048E-001,  4.176671E-001,  2.000944E-001
  6.581645E+000, -1.094704E+002,  0.000000E+000, -3.817303E+001, -6.719406E-001, -1.771605E-001,  2.001406E-001
  1.364474E+001, -1.157771E+002,  0.000000E+000, -3.053394E+001, -7.069260E-001, -9.652433E-001,  2.002721E-001
  1.853984E+001, -1.214390E+002,  0.000000E+000, -1.912617E+001, -3.434387E-001, -1.252232E+000,  2.001067E-001
  2.230127E+001, -1.245612E+002,  0.000000E+000, -5.502473E+000, -2.880427E-001, -8.949974E-001,  2.002241E-001
  2.372787E+001, -1.249808E+002,  0.000000E+000,  8.793911E+000, -6.831278E-002, -2.144304E-001,  2.002135E-001
  2.181409E+001, -1.220924E+002,  0.000000E+000,  2.137394E+001, -2.522114E-001,  1.415716E+000,  2.002198E-001
