 S11, S22, S33, S12, S23, S31, wp
 -2.057639E+001, -1.226933E+002,  0.000000E+000, -7.812816E+001,  6.479251E+000, -7.495075E+000,  3.201205E-001
 -2.117362E+001, -1.290119E+002,  0.000000E+000, -7.289647E+001,  4.987641E+000, -6.772537E+000,  3.200310E-001
 -2.418407E+001, -1.378102E+002,  0.000000E+000, -6.518517E+001,  4.188550E+000, -6.404116E+000,  3.203231E-001
 -3.026177E+001, -1.491116E+002,  0.000000E+000, -5.458659E+001,  4.768079E+000, -6.666946E+000,  3.201753E-001
 -3.683591E+001, -1.613301E+002,  0.000000E+000, -4.308398E+001,  5.419197E+000, -6.967954E+000,  3.201085E-001
 -4.383901E+001, -1.744990E+002,  0.000000E+000, -3.061662E+001,  6.110441E+000, -7.284875E+000,  3.204046E-001
 -5.151132E+001, -1.884655E+002,  0.000000E+000, -1.711268E+001,  6.754528E+000, -7.518613E+000,  3.201778E-001
 -5.959147E+001, -2.034655E+002,  0.000000E+000, -2.473758E+000,  7.561189E+000, -7.811551E+000,  3.200882E-001
 -6.817804E+001, -2.192646E+002,  0.000000E+000,  1.314116E+001,  8.414317E+000, -8.198211E+000,  3.202098E-001
 -7.780230E+001, -2.322288E+002,  0.000000E+000,  2.750358E+001,  9.108715E+000, -9.456451E+000,  3.204045E-001
 -8.934746E+001, -2.342826E+002,  0.000000E+000,  3.452155E+001,  8.593351E+000, -1.140712E+001,  3.203051E-001
 -1.003700E+002, -2.340262E+002,  0.000000E+000,  4.055367E+001,  7.675208E+000, -1.322691E+001,  3.200765E-001
 -1.090963E+002, -2.328566E+002,  0.000000E+000,  4.560465E+001,  7.720021E+000, -1.387082E+001,  3.204006E-001
 -1.160380E+002, -2.307167E+002,  0.000000E+000,  5.028927E+001,  8.292803E+000, -1.388529E+001,  3.202763E-001
 -1.217500E+002, -2.284188E+002,  0.000000E+000,  5.432156E+001,  9.253958E+000, -1.350832E+001,  3.205621E-001
 -1.264317E+002, -2.261716E+002,  0.000000E+000,  5.781596E+001,  1.045097E+001, -1.285324E+001,  3.202667E-001
 -1.306701E+002, -2.240544E+002,  0.000000E+000,  6.100807E+001,  1.158647E+001, -1.217699E+001,  3.206718E-001
 -1.345780E+002, -2.221468E+002,  0.000000E+000,  6.372344E+001,  1.244602E+001, -1.154925E+001,  3.203582E-001
 -1.378732E+002, -2.201670E+002,  0.000000E+000,  6.606074E+001,  1.298449E+001, -1.099407E+001,  3.200807E-001
 -1.403838E+002, -2.175002E+002,  0.000000E+000,  6.802576E+001,  1.363245E+001, -1.035063E+001,  3.203403E-001
 -1.835894E+000, -1.282245E+002,  0.000000E+000, -7.834678E+001,  8.182167E+000, -8.093736E+000,  3.203948E-001
  2.765300E-001, -1.334799E+002,  0.000000E+000, -7.432310E+001,  6.326225E+000, -7.305312E+000,  3.202140E-001
 -4.500301E-002, -1.414083E+002,  0.000000E+000, -6.781787E+001,  4.865704E+000, -6.698556E+000,  3.204319E-001
 -3.547742E+000, -1.521702E+002,  0.000000E+000, -5.828816E+001,  4.558449E+000, -6.591144E+000,  3.201718E-001
 -9.175265E+000, -1.649049E+002,  0.000000E+000, -4.656075E+001,  5.213593E+000, -6.927592E+000,  3.203213E-001
 -1.518467E+001, -1.786412E+002,  0.000000E+000, -3.374831E+001,  6.003958E+000, -7.282121E+000,  3.204174E-001
 -2.155617E+001, -1.931746E+002,  0.000000E+000, -1.992046E+001,  6.817991E+000, -7.623288E+000,  3.203108E-001
 -2.865203E+001, -2.088631E+002,  0.000000E+000, -4.836923E+000,  7.632509E+000, -7.972631E+000,  3.201297E-001
 -3.778851E+001, -2.236832E+002,  0.000000E+000,  1.035377E+001,  8.778282E+000, -9.281924E+000,  3.203252E-001
 -5.009002E+001, -2.322595E+002,  0.000000E+000,  2.202237E+001,  9.751227E+000, -1.158281E+001,  3.200622E-001
 -6.140895E+001, -2.340937E+002,  0.000000E+000,  2.856750E+001,  8.782841E+000, -1.304379E+001,  3.206134E-001
 -7.255631E+001, -2.338955E+002,  0.000000E+000,  3.429246E+001,  7.480241E+000, -1.394876E+001,  3.205977E-001
 -8.360965E+001, -2.331389E+002,  0.000000E+000,  4.017756E+001,  6.374080E+000, -1.517204E+001,  3.202227E-001
 -9.312952E+001, -2.315513E+002,  0.000000E+000,  4.581010E+001,  5.797677E+000, -1.605657E+001,  3.200074E-001
 -1.005088E+002, -2.293338E+002,  0.000000E+000,  5.046254E+001,  6.388283E+000, -1.599568E+001,  3.203915E-001
 -1.067354E+002, -2.270457E+002,  0.000000E+000,  5.451189E+001,  7.252812E+000, -1.557728E+001,  3.205044E-001
 -1.120632E+002, -2.249238E+002,  0.000000E+000,  5.790380E+001,  8.312465E+000, -1.497584E+001,  3.206405E-001
 -1.169088E+002, -2.229988E+002,  0.000000E+000,  6.080782E+001,  9.241897E+000, -1.439328E+001,  3.200400E-001
 -1.209725E+002, -2.206407E+002,  0.000000E+000,  6.337926E+001,  1.008462E+001, -1.377697E+001,  3.203656E-001
 -1.241329E+002, -2.175986E+002,  0.000000E+000,  6.543387E+001,  1.080298E+001, -1.308285E+001,  3.203551E-001
 -8.226009E+000, -1.225529E+002,  0.000000E+000, -8.101170E+001,  9.432337E+000, -8.820128E+000,  3.200909E-001
 -1.286329E+002, -2.124651E+002,  0.000000E+000,  6.808682E+001,  1.210393E+001, -1.171434E+001,  3.203155E-001
 -1.514034E+001, -1.160623E+002,  0.000000E+000, -8.378751E+001,  1.060050E+001, -9.658135E+000,  3.201651E-001
 -1.256225E+002, -1.962912E+002,  0.000000E+000,  7.177620E+001,  1.333799E+001, -9.987310E+000,  3.202514E-001
 -2.260004E+001, -1.084296E+002,  0.000000E+000, -8.661418E+001,  1.161710E+001, -1.064123E+001,  3.202237E-001
 -1.193787E+002, -1.755100E+002,  0.000000E+000,  7.572969E+001,  1.473178E+001, -7.972768E+000,  3.202051E-001
  1.664136E+001, -1.341279E+002,  0.000000E+000, -7.790363E+001,  9.778634E+000, -8.744326E+000,  3.202169E-001
  2.096941E+001, -1.389343E+002,  0.000000E+000, -7.470312E+001,  8.049049E+000, -8.030583E+000,  3.204129E-001
  2.370153E+001, -1.459303E+002,  0.000000E+000, -6.940911E+001,  6.153146E+000, -7.336457E+000,  3.204699E-001
  2.382927E+001, -1.556153E+002,  0.000000E+000, -6.155686E+001,  4.727585E+000, -6.798997E+000,  3.200621E-001
  2.015827E+001, -1.684926E+002,  0.000000E+000, -5.007679E+001,  5.094583E+000, -7.000373E+000,  3.200697E-001
